player_name,jersey,position,goals,assists,penalty_minutes,star_of_game,team,game_id
Brigette Lacquette,4,D,0,0,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Megan Keller,5,D,0,1,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Rebecca Johnston,6,F,0,0,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Nicole Kosta,7,F,0,0,2,,Scotiabank,team-sonnet-vs-team-scotiabank
Hayley Lunny,8,F,0,0,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Shannon Stewart,10,F,1,0,0,3.0,Scotiabank,team-sonnet-vs-team-scotiabank
Tatum Skaggs,11,F,0,0,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Kelly Pannek,12,F,0,0,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Katelyn Gosling,16,D,0,1,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Ella Shelton,17,D,0,1,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Madison Field,22,F,0,0,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Alex Carpenter,25,F,0,0,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Cat Quirion,26,D,0,0,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Emerance Maschmeyer,38,G,0,0,0,5.0,Scotiabank,team-sonnet-vs-team-scotiabank
Blayre Turnbull,40,F,1,1,0,1.0,Scotiabank,team-sonnet-vs-team-scotiabank
Grace Graham,42,F,0,0,0,,Scotiabank,team-sonnet-vs-team-scotiabank
Kristen Campbell,50,G,0,0,0,3.0,Scotiabank,team-sonnet-vs-team-scotiabank
Victoria Bach,51,F,0,0,2,,Scotiabank,team-sonnet-vs-team-scotiabank
Jocelyne Larocque,3,D,0,0,4,,adidas,team-adidas-vs-team-harveys
Laura Stacey,7,F,0,0,0,,adidas,team-adidas-vs-team-harveys
Megan Eady,8,D,0,0,0,,adidas,team-adidas-vs-team-harveys
Kayla Vespa,10,F,0,0,2,,adidas,team-adidas-vs-team-harveys
Jill Saulnier,11,F,0,1,0,,adidas,team-adidas-vs-team-harveys
Meaghan Mikkelson,12,D,0,0,0,,adidas,team-adidas-vs-team-harveys
Renata Fast,14,D,0,0,0,,adidas,team-adidas-vs-team-harveys
Kaitlin Willoughby,17,F,0,1,0,,adidas,team-adidas-vs-team-harveys
Jincy Dunne,19,D,0,0,0,,adidas,team-adidas-vs-team-harveys
Sarah Nurse,20,F,2,0,2,2.0,adidas,team-adidas-vs-team-harveys
Kelly Gribbons,21,F,0,0,0,,adidas,team-adidas-vs-team-harveys
Jess Jones,22,F,0,0,0,,adidas,team-adidas-vs-team-harveys
Jessica DiGirolamo,23,D,1,0,0,,adidas,team-adidas-vs-team-harveys
Kendall Coyne Schofield,26,F,0,1,0,,adidas,team-adidas-vs-team-harveys
Samantha Donovan,32,F,0,0,0,,adidas,team-adidas-vs-team-harveys
Aerin Frankel,33,G,0,0,0,,adidas,team-adidas-vs-team-harveys
Maddie Rooney,35,G,0,0,0,,adidas,team-adidas-vs-team-harveys
Kristin O’Neill,43,F,0,0,0,,adidas,team-adidas-vs-team-harveys
Sarah Potomak,44,F,0,0,0,,adidas,team-adidas-vs-team-harveys
Laura Dostaler,72,F,0,0,0,,adidas,team-adidas-vs-team-harveys
Marlène Boissonnault,1,G,0,0,0,,Harvey's,team-adidas-vs-team-harveys
Lee Stecklein,2,D,0,2,0,,Harvey's,team-adidas-vs-team-harveys
Lauriane Rougeau,5,D,0,0,0,,Harvey's,team-adidas-vs-team-harveys
Laura Fortino,8,D,0,0,0,,Harvey's,team-adidas-vs-team-harveys
Jessie Eldridge,9,F,1,1,0,3.0,Harvey's,team-adidas-vs-team-harveys
Sophia Shaver,11,F,0,0,0,,Harvey's,team-adidas-vs-team-harveys
Alexa Gruschow,12,F,1,0,0,,Harvey's,team-adidas-vs-team-harveys
Clair DeGeorge,14,F,0,0,0,,Harvey's,team-adidas-vs-team-harveys
Savannah Harmon,15,D,0,0,2,,Harvey's,team-adidas-vs-team-harveys
Hayley Scamurra,16,F,1,0,0,,Harvey's,team-adidas-vs-team-harveys
Alexandra Poznikoff,19,F,0,1,0,,Harvey's,team-adidas-vs-team-harveys
Mellissa Channell,22,D,0,0,0,,Harvey's,team-adidas-vs-team-harveys
Jacquie Greco,25,D,0,0,0,,Harvey's,team-adidas-vs-team-harveys
Emily Clark,26,F,0,0,2,,Harvey's,team-adidas-vs-team-harveys
Kristen Richards,27,D,0,0,0,,Harvey's,team-adidas-vs-team-harveys
Marie-Philip Poulin,29,F,1,1,4,1.0,Harvey's,team-adidas-vs-team-harveys
Ann-Renée Desbiens,35,G,0,0,0,,Harvey's,team-adidas-vs-team-harveys
Jamie Lee Rattray,47,F,0,1,0,,Harvey's,team-adidas-vs-team-harveys
Bailey Larson,61,F,0,1,0,,Harvey's,team-adidas-vs-team-harveys
Rosalie Demers,81,F,0,1,0,,Harvey's,team-adidas-vs-team-harveys
Marlène Boissonnault,1,G,0,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Lee Stecklein,2,D,0,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Lauriane Rougeau,5,D,0,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Laura Fortino,8,D,0,1,0,,Harvey's,team-sonnet-vs-team-harveys-2
Jessie Eldridge,9,F,0,2,0,,Harvey's,team-sonnet-vs-team-harveys-2
Sophia Shaver,11,F,1,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Alexa Gruschow,12,F,0,0,2,,Harvey's,team-sonnet-vs-team-harveys-2
Clair DeGeorge,14,F,0,1,0,,Harvey's,team-sonnet-vs-team-harveys-2
Savannah Harmon,15,D,0,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Hayley Scamurra,16,F,0,1,2,2.0,Harvey's,team-sonnet-vs-team-harveys-2
Alexandra Poznikoff,19,F,0,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Mellissa Channell,22,D,0,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Jacquie Greco,25,D,0,2,0,,Harvey's,team-sonnet-vs-team-harveys-2
Emily Clark,26,F,1,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Kristen Richards,27,D,0,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Marie-Philip Poulin,29,F,1,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Ann-Renée Desbiens,35,G,0,0,0,,Harvey's,team-sonnet-vs-team-harveys-2
Jamie Lee Rattray,47,F,2,1,0,1.0,Harvey's,team-sonnet-vs-team-harveys-2
Bailey Larson,61,F,0,0,2,,Harvey's,team-sonnet-vs-team-harveys-2
Rosalie Demers,81,F,1,1,0,,Harvey's,team-sonnet-vs-team-harveys-2
Emily Brown,2,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Iya Gavrilova,8,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Hanna Bunton,9,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Alexa Vasko,10,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Abby Roque,11,F,0,1,0,,Sonnet,team-sonnet-vs-team-harveys-2
Lillian Ribeirinha-Braga,15,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Samantha Cogan,17,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Malia Schneider,18,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Brianne Jenner,19,F,1,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Hannah Brandt,20,F,1,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Hilary Knight,21,F,0,2,0,3.0,Sonnet,team-sonnet-vs-team-harveys-2
Caroylne Prévost,22,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Erin Ambrose,23,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Emma Buckles,25,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Erica Howe,27,G,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Micah Zandee-Hart,28,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Nicole Hensley,29,G,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Rebecca Leslie,37,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Claire Thompson,42,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Demi Crossman,82,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys-2
Brigette Lacquette,4,D,0,1,0,,Scotiabank,team-scotiabank-vs-team-adidas
Megan Keller,5,D,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Rebecca Johnston,6,F,0,1,4,,Scotiabank,team-scotiabank-vs-team-adidas
Nicole Kosta,7,F,0,0,2,,Scotiabank,team-scotiabank-vs-team-adidas
Hayley Lunny,8,F,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Shannon Stewart,10,F,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Tatum Skaggs,11,F,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Kelly Pannek,12,F,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Jaime Bourbonnais,14,D,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Mélodie Daoust,15,F,1,1,0,3.0,Scotiabank,team-scotiabank-vs-team-adidas
Katelyn Gosling,16,D,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Ella Shelton,17,D,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Madison Field,22,F,0,1,0,,Scotiabank,team-scotiabank-vs-team-adidas
Alex Carpenter,25,F,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Cat Quirion,26,D,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Emerance Maschmeyer,38,G,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Blayre Turnbull,40,F,1,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Grace Graham,42,F,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Kristen Campbell,50,G,0,0,0,,Scotiabank,team-scotiabank-vs-team-adidas
Victoria Bach,51,F,1,1,2,,Scotiabank,team-scotiabank-vs-team-adidas
Jocelyne Larocque,3,D,0,0,2,,adidas,team-scotiabank-vs-team-adidas
Laura Stacey,7,F,1,1,0,,adidas,team-scotiabank-vs-team-adidas
Megan Eady,8,D,0,0,2,,adidas,team-scotiabank-vs-team-adidas
Kayla Vespa,10,F,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Jill Saulnier,11,F,0,1,0,,adidas,team-scotiabank-vs-team-adidas
Meaghan Mikkelson,12,D,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Renata Fast,14,D,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Kaitlin Willoughby,17,F,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Jincy Dunne,19,D,1,1,2,2.0,adidas,team-scotiabank-vs-team-adidas
Sarah Nurse,20,F,1,1,0,,adidas,team-scotiabank-vs-team-adidas
Kelly Gribbons,21,F,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Jess Jones,22,F,0,1,0,,adidas,team-scotiabank-vs-team-adidas
Jessica DiGirolamo,23,D,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Kendall Coyne Schofield,26,F,1,2,0,1.0,adidas,team-scotiabank-vs-team-adidas
Samantha Donovan,32,F,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Aerin Frankel,33,G,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Maddie Rooney,35,G,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Kristin O’Neill,43,F,1,1,0,,adidas,team-scotiabank-vs-team-adidas
Sarah Potomak,44,F,0,1,2,,adidas,team-scotiabank-vs-team-adidas
Laura Dostaler,72,F,0,0,0,,adidas,team-scotiabank-vs-team-adidas
Jocelyne Larocque,3,D,0,0,8,,adidas,team-adidas-vs-team-sonnet-2
Laura Stacey,7,F,1,0,0,2.0,adidas,team-adidas-vs-team-sonnet-2
Megan Eady,8,D,0,0,0,,adidas,team-adidas-vs-team-sonnet-2
Kayla Vespa,10,F,0,0,0,,adidas,team-adidas-vs-team-sonnet-2
Jill Saulnier,11,F,0,0,0,,adidas,team-adidas-vs-team-sonnet-2
Meaghan Mikkelson,12,D,0,0,0,,adidas,team-adidas-vs-team-sonnet-2
Renata Fast,14,D,0,0,2,,adidas,team-adidas-vs-team-sonnet-2
Kaitlin Willoughby,17,F,0,0,0,,adidas,team-adidas-vs-team-sonnet-2
Jincy Dunne,19,D,0,1,0,,adidas,team-adidas-vs-team-sonnet-2
Sarah Nurse,20,F,0,0,0,,adidas,team-adidas-vs-team-sonnet-2
Kelly Gribbons,21,F,0,0,0,,adidas,team-adidas-vs-team-sonnet-2
Jess Jones,22,F,0,0,0,,adidas,team-adidas-vs-team-sonnet-2
